Referencia,Fecha,Dia,Estacion,Activa E,Activa S,Reactiva1,Reactiva2,Reactiva3,Reactiva4,p,q
ZIV0034795628,2018-05-10 12:00:00,10/05/2018 00:00,S,0.432,0.0,0.0,0.0,0.0,0.145,4320.0,-1450.0
ZIV0034795629,2018-05-10 12:00:00,10/05/2018 00:00,S,0.256,0.0,0.011,0.0,0.0,0.026,2560.0,-150.0
ZIV0034795630,2018-05-10 12:00:00,10/05/2018 00:00,S,0.241,0.0,0.011,0.0,0.0,0.02,2410.0,-90.00000000000001
ZIV0034795631,2018-05-10 12:00:00,10/05/2018 00:00,S,0.03,0.0,0.002,0.0,0.0,0.034,300.0,-320.0
ZIV0034795632,2018-05-10 12:00:00,10/05/2018 00:00,S,0.003,0.0,0.0,0.0,0.0,0.128,30.0,-1280.0
ZIV0034795634,2018-05-10 12:00:00,10/05/2018 00:00,S,0.079,0.0,0.118,0.0,0.0,0.0,790.0,1180.0
ZIV0034795635,2018-05-10 12:00:00,10/05/2018 00:00,S,0.047,0.0,0.0,0.0,0.0,0.035,470.0,-350.0
ZIV0034795636,2018-05-10 12:00:00,10/05/2018 00:00,S,0.011,0.0,0.01,0.0,0.0,0.0,110.0,100.0
ZIV0034795637,2018-05-10 12:00:00,10/05/2018 00:00,S,0.142,0.0,0.06,0.0,0.0,0.026,1420.0,340.0
ZIV0034795638,2018-05-10 12:00:00,10/05/2018 00:00,S,0.014,0.0,0.004,0.0,0.0,0.0,140.0,40.0
ZIV0034795639,2018-05-10 12:00:00,10/05/2018 00:00,S,0.092,0.0,0.118,0.0,0.0,0.0,920.0,1180.0
ZIV0034795640,2018-05-10 12:00:00,10/05/2018 00:00,S,0.075,0.0,0.105,0.0,0.0,0.002,750.0,1030.0
ZIV0034795641,2018-05-10 12:00:00,10/05/2018 00:00,S,1138.0,0.0,0.0,0.0,0.0,0.014,11380000.0,-140.0
ZIV0034795644,2018-05-10 12:00:00,10/05/2018 00:00,S,0.017,0.0,0.0,0.0,0.0,0.031,170.0,-310.0
ZIV0034795645,2018-05-10 12:00:00,10/05/2018 00:00,S,0.106,0.0,0.01,0.0,0.0,0.04,1060.0,-300.0
ZIV0034795647,2018-05-10 12:00:00,10/05/2018 00:00,S,1287.0,0.0,1.138,0.0,0.0,0.0,12870000.0,11380.0
ZIV0034795691,2018-05-10 12:00:00,10/05/2018 00:00,S,0.032,0.0,0.0,0.0,0.0,0.011,320.0,-110.0
ZIV0034795692,2018-05-10 12:00:00,10/05/2018 00:00,S,0.209,0.0,0.0,0.0,0.0,0.067,2090.0,-670.0
ZIV0034795697,2018-05-10 12:00:00,10/05/2018 00:00,S,0.145,0.0,0.05,0.0,0.0,0.0,1450.0,500.0
ZIV0034810343,2018-05-10 12:00:00,10/05/2018 00:00,S,0.258,0.0,0.077,0.0,0.0,0.0,2580.0,770.0
ZIV0034810469,2018-05-10 12:00:00,10/05/2018 00:00,S,0.189,0.0,0.013,0.0,0.0,0.03,1890.0,-170.0
